source_file,task_tag,benchmark,class,config_workers,strategy,timing_pct,synth_level,synth_memory_mb,worker_instance_type,head_instance_type,ft_wall_time_s,setup_time_s,total_time_s,auto_failure_trigger_secs,app_time_s,mops_total,mops_per_proc,total_procs,active_procs,verification,recovery_cycles,phase0_s,phase1_s,phase2_s,phase2a_s,phase2b_s,phase2c_s,phase3_s,recovery_total_s,run_cost_usd,run_cost_ondemand_usd,total_cost_usd,run_index
synth_ckpt-800mb_2w_m5xl_degraded_2026-05-30T20:55:45_SUCCESS.txt,synth_ckpt-800mb_2w_m5xl_degraded,SYNTH_CKPT,-,2,DEGRADED,,,800.0,m5.xlarge,t3.large,130.0,39.092,169.092,30.0,,,,,,N/A,1,30.0,46.952,21.675,0.0,21.675,,21.225,89.852,0.007229444444444444,0.01687111111111111,0.009403394,4
synth_imbalanced-l0_2w_m5xl_MANA-noFT_2026-05-31T14:55:06_SUCCESS.txt,synth_imbalanced-l0_2w_m5xl_MANA-noFT,SYNTH_IMBALANCED,-,2,MANA_noFT,,0.0,,m5.xlarge,t3.large,67.429,38.172,105.601,,,,,,,N/A,0,,,,,,,,,0.0037498016111111115,0.008750785777777778,0.005872588944444444,1
synth_imbalanced-l1_2w_m5xl_MANA-noFT_2026-05-31T14:56:57_SUCCESS.txt,synth_imbalanced-l1_2w_m5xl_MANA-noFT,SYNTH_IMBALANCED,-,2,MANA_noFT,,1.0,,m5.xlarge,t3.large,67.928,38.89,106.818,,,,,,,N/A,0,,,,,,,,,0.0037775515555555548,0.008815544888888888,0.005940267666666666,2
synth_imbalanced-l2_2w_m5xl_MANA-noFT_2026-05-31T14:58:49_SUCCESS.txt,synth_imbalanced-l2_2w_m5xl_MANA-noFT,SYNTH_IMBALANCED,-,2,MANA_noFT,,2.0,,m5.xlarge,t3.large,68.811,38.644,107.454,,,,,,,N/A,0,,,,,,,,,0.003826656166666667,0.008930138666666667,0.005975636333333333,3
synth_imbalanced-l3_2w_m5xl_MANA-noFT_2026-05-31T15:00:42_SUCCESS.txt,synth_imbalanced-l3_2w_m5xl_MANA-noFT,SYNTH_IMBALANCED,-,2,MANA_noFT,,3.0,,m5.xlarge,t3.large,72.049,38.344,110.393,,,,,,,N/A,0,,,,,,,,,0.004006724944444445,0.009350359111111112,0.006139077388888889,4
synth_imbalanced-l4_2w_m5xl_MANA-noFT_2026-05-31T15:02:37_SUCCESS.txt,synth_imbalanced-l4_2w_m5xl_MANA-noFT,SYNTH_IMBALANCED,-,2,MANA_noFT,,4.0,,m5.xlarge,t3.large,83.137,38.405,121.542,,,,,,,N/A,0,,,,,,,,,0.004623340944444444,0.01078933511111111,0.006759085666666667,5
synth_imbalanced-l0_2w_m5xl_noFT_2026-05-31T14:46:56_SUCCESS.txt,synth_imbalanced-l0_2w_m5xl_noFT,SYNTH_IMBALANCED,-,2,noFT,,0.0,,m5.xlarge,t3.large,63.329,10.987,74.316,,,,,,,N/A,0,,,,,,,,,0.0035217960555555556,0.008218696888888889,0.004132795333333333,1
synth_imbalanced-l1_2w_m5xl_noFT_2026-05-31T14:48:16_SUCCESS.txt,synth_imbalanced-l1_2w_m5xl_noFT,SYNTH_IMBALANCED,-,2,noFT,,1.0,,m5.xlarge,t3.large,62.919,10.924,73.843,,,,,,,N/A,0,,,,,,,,,0.0034989954999999997,0.008165488,0.004106491277777778,2
synth_imbalanced-l2_2w_m5xl_noFT_2026-05-31T14:49:35_SUCCESS.txt,synth_imbalanced-l2_2w_m5xl_noFT,SYNTH_IMBALANCED,-,2,noFT,,2.0,,m5.xlarge,t3.large,62.931,10.973,73.904,,,,,,,N/A,0,,,,,,,,,0.0034996628333333335,0.008167045333333334,0.0041098835555555555,3
synth_imbalanced-l3_2w_m5xl_noFT_2026-05-31T14:50:54_SUCCESS.txt,synth_imbalanced-l3_2w_m5xl_noFT,SYNTH_IMBALANCED,-,2,noFT,,3.0,,m5.xlarge,t3.large,67.41,10.922,78.332,,,,,,,N/A,0,,,,,,,,,0.0037487449999999995,0.008748319999999999,0.004356129555555555,4
synth_imbalanced-l4_2w_m5xl_noFT_2026-05-31T14:52:17_SUCCESS.txt,synth_imbalanced-l4_2w_m5xl_noFT,SYNTH_IMBALANCED,-,2,noFT,,4.0,,m5.xlarge,t3.large,78.407,10.945,89.351,,,,,,,N/A,0,,,,,,,,,0.004360300388888888,0.010175486222222222,0.004968908388888888,5
synth_p2p-l0_2w_m5xl_MANA-noFT_2026-05-30T19:49:20_SUCCESS.txt,synth_p2p-l0_2w_m5xl_MANA-noFT,SYNTH_P2P,-,2,MANA_noFT,,0.0,,m5.xlarge,t3.large,67.603,38.414,106.017,,,,,,,N/A,0,,,,,,,,,0.0037594779444444443,0.00877336711111111,0.005895723166666666,1
synth_p2p-l1_2w_m5xl_MANA-noFT_2026-05-30T19:51:11_SUCCESS.txt,synth_p2p-l1_2w_m5xl_MANA-noFT,SYNTH_P2P,-,2,MANA_noFT,,1.0,,m5.xlarge,t3.large,67.239,38.257,105.497,,,,,,,N/A,0,,,,,,,,,0.0037392354999999998,0.008726128,0.005866805388888888,2
synth_p2p-l2_2w_m5xl_MANA-noFT_2026-05-30T19:53:02_SUCCESS.txt,synth_p2p-l2_2w_m5xl_MANA-noFT,SYNTH_P2P,-,2,MANA_noFT,,2.0,,m5.xlarge,t3.large,67.547,38.254,105.801,,,,,,,N/A,0,,,,,,,,,0.0037563637222222217,0.008766099555555554,0.005883711166666666,3
synth_p2p-l3_2w_m5xl_MANA-noFT_2026-05-30T19:54:53_SUCCESS.txt,synth_p2p-l3_2w_m5xl_MANA-noFT,SYNTH_P2P,-,2,MANA_noFT,,3.0,,m5.xlarge,t3.large,67.284,38.192,105.475,,,,,,,N/A,0,,,,,,,,,0.003741738,0.008731968000000001,0.005865581944444444,4
synth_p2p-l4_2w_m5xl_MANA-noFT_2026-05-30T19:56:43_SUCCESS.txt,synth_p2p-l4_2w_m5xl_MANA-noFT,SYNTH_P2P,-,2,MANA_noFT,,4.0,,m5.xlarge,t3.large,67.782,38.594,106.376,,,,,,,N/A,0,,,,,,,,,0.003769432333333333,0.008796597333333333,0.005915687555555556,5
synth_p2p-l0_2w_m5xl_noFT_2026-05-30T19:41:09_SUCCESS.txt,synth_p2p-l0_2w_m5xl_noFT,SYNTH_P2P,-,2,noFT,,0.0,,m5.xlarge,t3.large,62.906,10.929,73.835,,,,,,,N/A,0,,,,,,,,,0.0034982725555555553,0.008163800888888888,0.0041060463888888885,1
synth_p2p-l1_2w_m5xl_noFT_2026-05-30T19:42:28_SUCCESS.txt,synth_p2p-l1_2w_m5xl_noFT,SYNTH_P2P,-,2,noFT,,1.0,,m5.xlarge,t3.large,63.146,10.988,74.134,,,,,,,N/A,0,,,,,,,,,0.003511619222222222,0.008194947555555556,0.004122674111111111,2
synth_p2p-l2_2w_m5xl_noFT_2026-05-30T19:43:48_SUCCESS.txt,synth_p2p-l2_2w_m5xl_noFT,SYNTH_P2P,-,2,noFT,,2.0,,m5.xlarge,t3.large,62.919,10.933,73.852,,,,,,,N/A,0,,,,,,,,,0.0034989954999999997,0.008165488,0.004106991777777778,3
synth_p2p-l3_2w_m5xl_noFT_2026-05-30T19:45:07_SUCCESS.txt,synth_p2p-l3_2w_m5xl_noFT,SYNTH_P2P,-,2,noFT,,3.0,,m5.xlarge,t3.large,63.115,10.971,74.085,,,,,,,N/A,0,,,,,,,,,0.0035098952777777776,0.008190924444444444,0.004119949166666666,4
synth_p2p-l4_2w_m5xl_noFT_2026-05-30T19:46:26_SUCCESS.txt,synth_p2p-l4_2w_m5xl_noFT,SYNTH_P2P,-,2,noFT,,4.0,,m5.xlarge,t3.large,65.072,10.977,76.049,,,,,,,N/A,0,,,,,,,,,0.003618726222222222,0.008444899555555557,0.0042291693888888895,5
